Materials;;;;;;;;;;;;Characteristics for methodes;Deposition methods;;;Powder bed fusion;;;;;Printing methods;;;Sheet lamination;;Stereolithography;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Ballistic particle (obsolete);Laser powder forming (LENS);Material extrusion (FDM);Electron beam melting (EBM);Selective laser melting;Selective laser sintering. metals and ceramics (DMLS);Selective laser sintering. polymers (SLS);Solid ground curing (obsolete);Binder jetting;Ceramic  mold prototyping for metals casting;Material jetting (polyjet);Laminated object manufecture;Ultrasonic consolidation;Mask projection stereolithography;Stereolithography (SLA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Relative cost index (per unit) [EUR];1800-2410;14.1-4010;147-1080;37-4080;103-3790;164-1920;12.1-1540;1660-4070;7.33-171;147-677;34.7-145;38.8-1710;not inf;21-3360;24.3-3800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Economic batch size (units);1;5.5;10;1;5.5;10;1;5.5;10;1;5.5;10;1;5.5;10;1;50.5;100;1;5.5;10;not inf;#VALEUR!;not inf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Capital cost [EUR];161000-321000;426000-682000;80300-341000;511000-682000;341000-469000;153000-724000;153000-724000;482000-643000;85200-1280000;48200-112000;852-341000;96400-177000;511000-1110000;1700-213000;1700-886000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Relative cost index (per unit) [EUR];14.1;2012.05;4010;147;613.5;1080;37;2058.5;4080;103;1946.5;3790;164;1042;1920;12.1;776.05;1540;34.7;89.85;145;24.3;1912.15;3800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Material utilization fraction;0.9-0.98;0.8-1;0.9-0.98;0.45-0.55;0.75-0.85;0.5-0.7;0.5-0.7;0.5-0.7;0.95-1;0.4-0.6;0.9-0.98;0.5-0.7;0.7-0.8;0.65-0.75;0.5-0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Capital cost [EUR];426000;554000;682000;80300;197150;314000;511000;596500;682000;341000;405000;469000;153000;438500;724000;153000;438500;724000;852;171476;342100;1700;443850;886000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Production rate (units) /hr;0.06-0.08;0.04-25;0.13-1;0.04-7;0.04-1.6;0.08-1;0.1-400;0.04-0.1;1-500;0.2-1;1-5.0;0.08-5;0.04-40;0.04-12;0.04-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Material utilization fraction;0.8;0.9;1;0.9;0.94;0.98;;0;;0.75;0.8;0.85;0.5;0.6;0.7;0.5;0.6;0.7;0.9;0.94;0.98;0.5;0.6;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Tool life (units);1.0-10;100000-1000000;100000-1000000;100000-1000000;100000-1000000;100000-1000000;100000-1000000;1.0-2;100000-1000000;100000-1000000;100000-1000000;100000-1000000;not inf;100000-1000000;100000-1000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Production rate (units) /hr;0.04;12.52;25;0.13;0.565;1;0.04;3.52;7;0.04;0.82;1.6;0.08;0.54;1;0.1;200.05;400;1;3;5;0.04;6.02;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Tooling cost [EUR];32.1-80.3;0-0.0852;0-0.0852;0-0.0852;0-0.0852;0-0.0852;0-0.0852;32.1-80.3;0-0.0852;0-0.0852;0-0.0852;0-0.0852;not inf;0-0.0852;0-0.0852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tool life (units);100000;550000;1000000;100000;550000;1000000;100000;550000;1000000;100000;550000;1000000;100000;550000;1000000;100000;550000;1000000;100000;550000;1000000;100000;550000;1000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Labor intensity;not inf;not oinf;low;not inf;not inf;high;high;not inf;not inf;not inf;medium;high;not inf;not inf;not inf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deposition methods;;;Powder bed fusion;;;;;Printing methods;;;Sheet lamination;;Stereolithography;;;;;;;;;;;;;;;;;;;;;;Tooling cost [EUR];0;0.0426;0.0852;0;0.0426;0.0852;0;0.0426;0.0852;0;0.0426;0.0852;0;0.0426;0.0852;0;0.0426;0.0852;0;0.0426;0.0852;0;0.0426;0.0852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NAME;;Composition;;;;;;;;;;;;;;;;;;;;;;;;;Primary production energy. CO2 and water;;;;;;;;;;Recycling and end of life;;;;;;;Processing energy. CO2 footprint&water;;;;;;;;Price;;;;Physical properties;;;;;;;;;;;Laser powder forming (LENS);;;Material extrusion (FDM);;;Electron beam melting (EBM);;;Selective laser melting;;;Selective laser sintering. metals and ceramics (DMLS);;;Selective laser sintering. polymers (SLS);;;Material jetting (polyjet);;;Stereolithography (SLA);;;;;;;;;;;;;;;Laser powder forming (LENS);;;Material extrusion (FDM);;;Electron beam melting (EBM);;;Selective laser melting;;;Selective laser sintering. metals and ceramics (DMLS);;;Selective laser sintering. polymers (SLS);;;Material jetting (polyjet);;;Stereolithography (SLA);;;;;;;;;;;;;Percent of gaz station;Percent of charbon station;Percent of nuclear station;Percent of alternative energy;Percent of hydrostation;;;;;;;;;;;;Laser powder forming (LENS);;;Material extrusion (FDM);;;Electron beam melting (EBM);;;Selective laser melting;;;Selective laser sintering. metals and ceramics (DMLS);;;Selective laser sintering. polymers (SLS);;;Material jetting (polyjet);;;Stereolithography (SLA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;Embodied energy. primary production (virgin grade) [MJ/kg];;Embodied energy. primary production (typical grade) [MJ/kg];;CO2 footprint. primary production (virgin grade) kg/kg;;CO2 footprint. primary production (typical grade) kg/kg;;Water usage [L/kg];;Recycle ;Emdodied energy. recycling MJ/kg;;CO2 footprint. recycling kg/kg;;Recycle fraction in current supply %;;Energy of material production;;Downcycle;Combust for energy recovery;Heat of combustion (net) MJ/kg;;;Combustion CO2 kg/kg;Landfill;Biodegrade;Price EUR/kg;;Price per unit volume EUR/m^3;;Density kg/m^3;;Young's modulus Gpa;;Young's modulus Gpa above temperature;;;;min;moyen;max;min;moyen;max;min;moyen;max;min;moyen;max;min;moyen;max;min;moyen;max;min;moyen;max;min;moyen;max;;;;;;;;;;;;;min;moyen;max;min;moyen;max;min;moyen;max;min;moyen;max;min;moyen;max;min;moyen;max;min;moyen;max;min;moyen;max;;;;;;;;;;;Contry;;;;;;;;;;;;;;;;min;moyen;max;min;moyen;max;min;moyen;max;min;moyen;max;min;moyen;max;min;moyen;max;min;moyen;max;min;moyen;max;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UNS number;US name;Co;Cr;Fe;V;Mo;Ni;Cu;Mn;Si;;;;;;;;;;;;;;;;;MIN;MAX;MIN;MAX;MIN;MAX;MIN;MAX;MIN;MAX;;MIN;MAX;MIN;MAX;MIN;MAX;MIN;MAX;;;;;;;;;MIN;MAX;MIN;MAX;MIN;MAX;MIN;MAX;MIN;MAX;;Materials;Energie totale de procédé et de matériaux (MJ/kg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Materials;Le cout (EUR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;;;;;;;;Materials;CO2 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
